,Period,Data-type,Sub-heading1,Sub-heading2,Files
50,Fetal Period (Phase 1),Questionnaires,"Mother 2 (GR1002): diet, including macronutrients and micronutrients",,MOTHERDIETARYPATTERNS_22112016  Add this file to your basket General
51,Fetal Period (Phase 1),Questionnaires,"Mother 2 (GR1002): diet, including macronutrients and micronutrients",,MOTHERDietScore_pregnancy_18052018  Add this file to your basket General
52,Fetal Period (Phase 1),Questionnaires,"Mother 2 (GR1002): diet, including macronutrients and micronutrients",,"MOTHERDIET_rMEDandrMED2_N6400_27082021 Add this file to your basket ""Janine Felix & Vincent Jaddoe"""
53,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Mother_behaviour_combined_(fetal_period)
54,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,A. Health,GR1003-A1-7_02092013  Add this file to your basket General
55,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,A. Health,GR1003-A8-11_02092013  Add this file to your basket General
56,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,B. Lifestyle,GR1003-B_02092013  Add this file to your basket General
57,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,C. Social circumstances,GR1003-C_08042016  Add this file to your basket General
58,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,D. Emotional problems,GR1003-D2-20_01072012  Add this file to your basket General
59,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,E. Eating disorders,GR1003-E_01072012  Add this file to your basket General
60,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,F. Substance abuse,GR1003-F_01072012  Add this file to your basket General
61,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,G. Standards and values,GR1003-G_01072012  Add this file to your basket General
62,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,H. The family in which you grew up,GR1003-H_14082012  Add this file to your basket General
63,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,H. The family in which you grew up,GR1003-H2_08022022 Add this file to your basket General
64,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,I. Childhood memories,"PI: Pauline Jansen, Manon Hillegers"
65,Fetal Period (Phase 1),Questionnaires,Mother 3 (GR1003): feelings and memories,K. Views about bringing up children,GR1003-K_01072012  Add this file to your basket General
66,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,A. Course of this pregnancy,GR1005-A_22112016  Add this file to your basket General
67,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,B. Health,GR1005-B1-7_22112016  Add this file to your basket General
68,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,B. Health,GR1005-B8-11_22112016  Add this file to your basket General
69,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,C. Lifestyle,GR1005-C_22112016  Add this file to your basket General
70,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,D. Work and working conditions,GR1005-D_22112016  Add this file to your basket PI: Lex Burdorf
71,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,E. Personal circumstances,GR1005-E_22112016  Add this file to your basket General
72,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,E. Personal circumstances,GR1005-E2-3_25042019  Add this file to your basket General
73,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,F. Religion,GR1005-F_22112016  Add this file to your basket General
74,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,F. Religion,GR1005-F1_22062016  Add this file to your basket General
75,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,F. Religion,GR1005-F2_28062015  Add this file to your basket General
76,Fetal Period (Phase 1),Questionnaires,Mother 4 (GR1005): living conditions,F. Religion,GR1005-G_22112016  Add this file to your basket General
77,Fetal Period (Phase 1),Questionnaires,Father behaviour combined (fetal period),,"GR1004-Family Assessment Device F1-F12_22112016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
78,Fetal Period (Phase 1),Questionnaires,Father behaviour combined (fetal period),,"GR1004-BSI G1_22112016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
79,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Father_behaviour_combined_(fetal_period)
80,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",A. General Health,GR1004-A1tm9-27_08042016  Add this file to your basket General
81,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",A. General Health,GR1004-A21-25_02092013  Add this file to your basket General
82,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",A. General Health,GR1004-A15-20_02092013  Add this file to your basket General
83,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",A. General Health,GR1004-A10-14_02092013  Add this file to your basket General
84,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",B. Lifestyle,GR1004-B_01072012  Add this file to your basket General
85,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",C. Medical history of your family,GR1004-C3-13_01072012  Add this file to your basket General
86,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",D. Background information of you and your family,GR1004-D_01072012  Add this file to your basket General
87,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",E. Education and work,GR1004-E_01072012  Add this file to your basket General
88,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",E. Education and work,PATERNALOCCUPATION_15042022 Add this file to your basket General
89,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",F. Social circumstances,"GR1004-F_01072012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
90,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",G. Emotional problems,"GR1004-G_01072012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
91,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",H. Substance abuse,GR1004-H_01072012  Add this file to your basket General
92,Fetal Period (Phase 1),Questionnaires,"Father (GR1004): medical and family history, life style habits, educational level, psychopathology",I. Standards and values,GR1004-I_01072012  Add this file to your basket General
93,Fetal Period (Phase 1),Interview,Mother,,PREGNANCY_PRAQ_25082009 Add this file to your basket PI: Pauline Jansen
94,Fetal Period (Phase 1),Interview,Mother,,20090505_Focus Cidi - consent fase 2 Add this file to your basket PI: Pauline Jansen
95,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,MOTHERHBHTPREGNANCY_17072015  Add this file to your basket General
96,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,
97,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-CRP_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
98,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MATERNALFATTYACIDS_22112016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
99,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-sFlt_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
100,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-FolicAcid_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
101,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-HCY_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
102,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-PAI_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
103,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-PIGF_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
104,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,
105,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-antiTPO_17072015  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
106,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-HCG_22112016  Add this file to your basket PI: Robin Peeters, Eric Steegers"
107,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,MOTHERHPYLORIMIDPREG_22112016  Add this file to your basket PI: Ernst Kuipers
108,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-IRONS_30112017  Add this file to your basket PI: Vincent Jaddoe, Irwin Reiss"
109,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-LIPIDS_26092019  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
110,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"13092019 Metabolomics_Mother_Imputed_FINAL PI: Vincent Jaddoe, Eric Steegers, available on request from datamanagement"
111,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,MOTHERPREGANCY-tTg-Iga_22112016  Add this file to your basket PI: Liesbeth Duijts
112,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,MOTHERPREGNANCY-Tg_26092018  Add this file to your basket PI: Robin Peeters
113,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-thyroid_02052016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
114,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-VitaminB_22112016  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
115,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,"MOTHERPREGNANCY-VitaminD_17072015  Add this file to your basket PI: Vincent Jaddoe, Henning Tiemeier"
116,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,SUNLIGHTEXPOSURE_MotherPregnancyVitaminD_17072015  Add this file to your basket General
117,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Blood,
118,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,URINEMOTHERPREGNANCY-bpacrea_21122011  Add this file to your basket PI: Lex Burdorf
119,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,URINEMOTHERPREGNANCY-Chlamydia_22112016  Add this file to your basket PI: Liesbeth Duijts
120,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,URINEMOTHERPREGNANCY-DMPDEP-N=80_28112012  Add this file to your basket PI: Lex Burdorf
121,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,"URINEMOTHERPREGANCY-Iodine_16102018  Add this file to your basket PI: Robin, Peeters, Pauline Jansen, Manon Hillegers"
122,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,"URINEMOTHERPREGANCY-THC_17072015  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
123,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,"20160127_NIH_Analytical results OP metabolites_Pregnancy  Add this file to your basket PI: Pauline Jansen, TNO, available on request from datamanagement"
124,Fetal Period (Phase 1),Biological samples,Mother: pregancy,Urine,URINEMOTHER_phtalatesandbisphenols_pregnancy_21082018  Add this file to your basket PI: Vincent Jaddoe
125,Fetal Period (Phase 1),Biological samples,Parents: Genetics,GWAS,SelectionGenR-Parents_PARENT_07112022 Download from here General
126,Fetal Period (Phase 1),Biological samples,Parents: Genetics,GWAS,SelectionGenR-Parents_MOTHER_07112022 Download from here General
127,Fetal Period (Phase 1),Biological samples,Parents: Genetics,GWAS,SelectionGenR-Parents_PARTNER_20102022 Add this file to your basket General
128,Fetal Period (Phase 1),Biological samples,Parents: Genetics,GWAS,SelectionGWA_ChildParentKinship_16112022 Download from here General
129,Fetal Period (Phase 1),Biological samples,Parents: Genetics,GWAS,GENR_Parents_NonEurSamples_20102022 Add this file to your basket General
130,Fetal Period (Phase 1),Biological samples,Parents: Genetics,SNPS (taqman),SNPPARENTS_rs429358_13122019  Add this file to your basket PI: Arfan Ikram
131,Fetal Period (Phase 1),Biological samples,Parents: Genetics,SNPS (taqman),SNPPARENTS_rs7412_13122019  Add this file to your basket PI: Arfan Ikram
132,Fetal Period (Phase 1),Environment,Prenatal exposure,"Airpollution, created for lifecycle","Lifecycle_GENR-9523_ap_backextrapolated_preg_2021-04-15 PI: Vincent Jaddoe, available on request from datamanagement"
133,Fetal Period (Phase 1),Environment,Prenatal exposure,"Airpollution, created for lifecycle","PREGNANCYAIRPOLLUTION_n9499_ap_backextrapolationrestruct_09072020 PI: Vincent Jaddoe, available on request from datamanagement"
134,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRbuiltenvironment_14-05-2020 PI: Vincent Jaddoe, available on request from datamanagement"
135,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRUnhealthyfoodenvironment_25112019 PI: Vincent Jaddoe, available on request from datamanagement"
136,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRtraffic_25112019 PI: Vincent Jaddoe, available on request from datamanagement"
137,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRsocialcontext_25112019 PI: Vincent Jaddoe, available on request from datamanagement"
138,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRnoise_25112019 PI: Vincent Jaddoe, available on request from datamanagement"
139,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRnaturalspaces_25112019_corrected PI: Vincent Jaddoe, available on request from datamanagement"
140,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENR_meteo_27072020 PI: Vincent Jaddoe, available on request from datamanagement"
141,Fetal Period (Phase 1),Environment,Prenatal exposure,"Other, created for lifecycle","GENRairpollution_25112019 PI: Vincent Jaddoe, available on request from datamanagement"
142,Years 0-4 (Phase 2),General data,,,CHILD-ALLGENERALDATA_24102022 Add this file to your basket
143,Years 0-4 (Phase 2),General data,,,COHORTPHASE03-POSTNATAL_ZIPCODE_05082019  Add this file to your basket
144,Years 0-4 (Phase 2),General data,,,CHILDBIRTH_14082017  Add this file to your basket
145,Years 0-4 (Phase 2),General data,,,ETHNICITYCHILDsurinameandafricansubdivided_19072017  Add this file to your basket
146,Years 0-4 (Phase 2),General data,,,SESFOLLOWUP_03022020  Add this file to your basket
147,Years 0-4 (Phase 2),General data,,,CHILD-RANDOMSAMPLE_11012013  Add this file to your basket
148,Years 0-4 (Phase 2),General data,,,MONTHYEARBIRTHCHILD_19122018  Add this file to your basket
149,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,14 months,"luijk 080930 bronbestand gehechtheid 14 maanden  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
150,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,14 months,"20090324_Sensitivity 14 months  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
151,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,14 months,"DIP14M_20012010  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
152,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"20101112 Sensitivity 36 months  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
153,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"20100421_ScoresSnackGiftDelay-36 monthsFocus_dataset-DEF  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
154,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"20110511 dataset discipline 36 months Focus-corrected version  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
155,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"Data emotion recognition 36m Focus  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
156,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"Jumping Spider 36m Focus corrected 18Aug201 22Feb2012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
157,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"Popping Bubbles 36m Focus corrected 30Aug2011 22 Feb2012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
158,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"Puppet Game 36m Focus 22Feb2012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
159,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"Stranger Approach 36m Focus 22Feb2012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
160,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"IMPOSSIBLEPUZZLE36M_24122013  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
161,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"COMPLIANCE36MONTHS_20042015  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
162,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,"COMPLIANCE36M_Afblijven-Don't Zonder beer_13042016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
163,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,36 months,
164,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"20110415_Focus 48 months-working memory  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
165,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"20120112_Homevisit4year-B9  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
166,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"20111025_AgeSiblings-HOMEVISIT4years  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
167,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"20110517_Attention 48monthsFocus  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
168,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"20100518_dataset sensitivity father 4 year home visit_CLEANED  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
169,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"20100518_dataset sensitivity mother 4 year home visit_CLEANED  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
170,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Behaviour 0-4 years,48 months,"FOCUS4Y_DARTFROGCODING_29082019  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
171,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Brain 0-4 years,,"CHILDBRAINFOCUS_22112016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
